;date;n_sick;calls;n_duty;n_sby;sby_need;dafted;demand;n_sick_adj;demand_pred;calls_reg_pred;calls_reg_act_diff;month;year;dayofmonth;weekday;weekofyear;dayofyear;predict_day;season;day;status;randforest_pred;adaboost_pred
25;2016-04-26;65,0;6576,0;1700,0;90,0;0,0;0,0;;73,0;1316,0;7096,0;-520,0;4;2016;26;1;17;117;2016-03-15;2;26;actual;442,11674279002614;215,0429906542056
26;2016-04-27;62,0;7620,0;1700,0;90,0;0,0;0,0;;69,0;1524,0;7098,0;522,0;4;2016;27;2;17;118;2016-03-15;2;27;actual;426,83033875732815;154,70382695507487
27;2016-04-28;66,0;6870,0;1700,0;90,0;0,0;0,0;;74,0;1374,0;7099,0;-229,0;4;2016;28;3;17;119;2016-03-15;2;28;actual;328,878544554087;76,68520859671303
28;2016-04-29;64,0;7554,0;1700,0;90,0;0,0;0,0;;72,0;1511,0;7101,0;453,0;4;2016;29;4;17;120;2016-03-15;2;29;actual;61,96856542531032;-111,83495145631068
29;2016-04-30;65,0;5424,0;1700,0;90,0;0,0;0,0;;73,0;1085,0;7102,0;-1678,0;4;2016;30;5;17;121;2016-03-15;2;30;actual;-128,13475350358266;-514,6920152091254
30;2016-05-01;54,0;8400,0;1700,0;90,0;34,0;0,0;1680,0;60,0;1680,0;7104,0;1296,0;5;2016;1;6;17;122;2016-04-15;2;31;actual;1234,7282598170611;994,5434782608696
31;2016-05-02;63,0;7782,0;1700,0;90,0;0,0;0,0;;70,0;1557,0;7105,0;677,0;5;2016;2;0;18;123;2016-04-15;2;32;actual;1381,2546563055678;1520,8690909090908
32;2016-05-03;61,0;7716,0;1700,0;90,0;0,0;0,0;;68,0;1544,0;7107,0;609,0;5;2016;3;1;18;124;2016-04-15;2;33;actual;1287,3106523102317;1430,2313624678663
33;2016-05-04;58,0;8340,0;1700,0;90,0;26,0;0,0;1668,0;65,0;1668,0;7108,0;1232,0;5;2016;4;2;18;125;2016-04-15;2;34;actual;1224,1135420857295;1291,8347338935573
34;2016-05-05;57,0;8064,0;1700,0;90,0;0,0;0,0;;64,0;1613,0;7110,0;954,0;5;2016;5;3;18;126;2016-04-15;2;35;actual;1015,8882156897125;1170,4705882352941
35;2016-05-06;59,0;7404,0;1700,0;90,0;0,0;0,0;;66,0;1481,0;7111,0;293,0;5;2016;6;4;18;127;2016-04-15;2;36;actual;558,7049697763039;734,7794117647059
36;2016-05-07;57,0;8868,0;1700,0;90,0;131,0;41,0;1774,0;64,0;1774,0;7113,0;1755,0;5;2016;7;5;18;128;2016-04-15;2;37;actual;230,6688240650282;261,1467889908257
37;2016-05-08;61,0;6504,0;1700,0;90,0;0,0;0,0;;68,0;1301,0;7114,0;-610,0;5;2016;8;6;18;129;2016-04-15;2;38;actual;-120,10185730477613;107,2367601246106
38;2016-05-09;65,0;7788,0;1700,0;90,0;0,0;0,0;;73,0;1558,0;7116,0;672,0;5;2016;9;0;19;130;2016-04-15;2;39;actual;588,1289014752676;740,0
39;2016-05-10;68,0;6978,0;1700,0;90,0;0,0;0,0;;76,0;1396,0;7117,0;-139,0;5;2016;10;1;19;131;2016-04-15;2;40;actual;561,0140758117119;740,0
40;2016-05-11;61,0;7512,0;1700,0;90,0;0,0;0,0;;68,0;1503,0;7119,0;393,0;5;2016;11;2;19;132;2016-04-15;2;41;actual;540,3497375514606;740,0
41;2016-05-12;55,0;7434,0;1700,0;90,0;0,0;0,0;;61,0;1487,0;7120,0;314,0;5;2016;12;3;19;133;2016-04-15;2;42;actual;437,8083706407316;658,0626740947075
42;2016-05-13;56,0;8370,0;1700,0;90,0;30,0;0,0;1674,0;63,0;1674,0;7122,0;1248,0;5;2016;13;4;19;134;2016-04-15;2;43;actual;222,81952256872967;277,30268199233717
43;2016-05-14;50,0;8136,0;1700,0;90,0;0,0;0,0;;56,0;1628,0;7123,0;1013,0;5;2016;14;5;19;135;2016-04-15;2;44;actual;109,25493661615002;139,28240740740742
44;2016-05-15;57,0;7674,0;1700,0;90,0;0,0;0,0;;64,0;1535,0;7125,0;549,0;5;2016;15;6;19;136;2016-04-15;2;45;actual;-176,06345800321702;-78,94848484848485
45;2016-05-16;52,0;9048,0;1700,0;90,0;162,0;72,0;1810,0;58,0;1810,0;7126,0;1922,0;5;2016;16;0;20;137;2016-04-15;2;46;actual;526,1798973931;478,9630996309963
46;2016-05-17;53,0;8550,0;1700,0;90,0;63,0;0,0;1710,0;59,0;1710,0;7128,0;1422,0;5;2016;17;1;20;138;2016-04-15;2;47;actual;514,9426583318105;467,23185011709603
47;2016-05-18;52,0;8184,0;1700,0;90,0;0,0;0,0;;58,0;1637,0;7129,0;1055,0;5;2016;18;2;20;139;2016-04-15;2;48;actual;504,13275632751015;399,47648902821317
48;2016-05-19;51,0;8352,0;1700,0;90,0;22,0;0,0;1671,0;57,0;1671,0;7131,0;1221,0;5;2016;19;3;20;140;2016-04-15;2;49;actual;401,04684756196684;304,4602510460251
49;2016-05-20;57,0;5790,0;1700,0;90,0;0,0;0,0;;64,0;1158,0;7132,0;-1342,0;5;2016;20;4;20;141;2016-04-15;2;50;actual;110,90967045089278;90,18685121107266
50;2016-05-21;56,0;8382,0;1700,0;90,0;33,0;0,0;1677,0;63,0;1677,0;7134,0;1248,0;5;2016;21;5;20;142;2016-04-15;2;51;actual;-48,97514948380214;31,148936170212767
51;2016-05-22;58,0;6516,0;1700,0;90,0;0,0;0,0;;65,0;1304,0;7135,0;-619,0;5;2016;22;6;20;143;2016-04-15;2;52;actual;-364,52800304602897;-423,73243243243246
52;2016-05-23;57,0;7824,0;1700,0;90,0;0,0;0,0;;64,0;1565,0;7137,0;687,0;5;2016;23;0;21;144;2016-04-15;2;53;actual;472,6859941652199;390,942238267148
53;2016-05-24;55,0;6312,0;1700,0;90,0;0,0;0,0;;61,0;1263,0;7138,0;-826,0;5;2016;24;1;21;145;2016-04-15;2;54;actual;466,8337063622187;390,942238267148
54;2016-05-25;49,0;8196,0;1700,0;90,0;0,0;0,0;;55,0;1640,0;7140,0;1056,0;5;2016;25;2;21;146;2016-04-15;2;55;actual;456,02380435791827;363,7278481012658
55;2016-05-26;46,0;8124,0;1700,0;90,0;0,0;0,0;;51,0;1625,0;7141,0;983,0;5;2016;26;3;21;147;2016-04-15;2;56;actual;358,0720101546773;271,83104125736736
56;2016-05-27;50,0;6084,0;1700,0;90,0;0,0;0,0;;56,0;1217,0;7143,0;-1059,0;5;2016;27;4;21;148;2016-04-15;2;57;actual;78,52741890236487;114,76138433515483
57;2016-05-28;50,0;6174,0;1700,0;90,0;0,0;0,0;;56,0;1235,0;7144,0;-970,0;5;2016;28;5;21;149;2016-04-15;2;58;actual;-100,23392552578731;31,148936170212767
58;2016-05-29;52,0;6984,0;1700,0;90,0;0,0;0,0;;58,0;1397,0;7146,0;-162,0;5;2016;29;6;21;150;2016-04-15;2;59;actual;-419,02159495702784;-423,73243243243246
59;2016-05-30;59,0;8670,0;1700,0;90,0;93,0;3,0;1734,0;66,0;1734,0;7147,0;1523,0;5;2016;30;0;22;151;2016-04-15;2;60;actual;462,35720433382113;399,47648902821317
60;2016-05-31;59,0;8004,0;1700,0;90,0;0,0;0,0;;66,0;1601,0;7149,0;855,0;5;2016;31;1;22;152;2016-04-15;2;61;actual;462,35720433382113;399,47648902821317
61;2016-06-01;64,0;7656,0;1700,0;90,0;0,0;0,0;;72,0;1532,0;7150,0;506,0;6;2016;1;2;22;153;2016-05-15;2;62;actual;1688,4769185344624;1776,9357142857143
62;2016-06-02;63,0;8298,0;1700,0;90,0;23,0;0,0;1660,0;70,0;1660,0;7152,0;1146,0;6;2016;2;3;22;154;2016-05-15;2;63;actual;1301,403302642162;1294,780487804878
63;2016-06-03;69,0;8922,0;1700,0;90,0;154,0;64,0;1785,0;77,0;1785,0;7153,0;1769,0;6;2016;3;4;22;155;2016-05-15;2;64;actual;1232,021198767983;1083,23347107438
64;2016-06-04;67,0;9426,0;1700,0;90,0;253,0;163,0;1886,0;75,0;1886,0;7155,0;2271,0;6;2016;4;5;22;156;2016-05-15;2;65;actual;900,1719426186409;925,0938271604938
65;2016-06-05;61,0;8514,0;1700,0;90,0;64,0;0,0;1703,0;68,0;1703,0;7156,0;1358,0;6;2016;5;6;22;157;2016-05-15;2;66;actual;737,6989682362898;399,53409090909093
66;2016-06-06;62,0;9426,0;1700,0;90,0;248,0;158,0;1886,0;69,0;1886,0;7158,0;2268,0;6;2016;6;0;23;158;2016-05-15;2;67;actual;792,4080252450552;1170,4705882352941
67;2016-06-07;53,0;9414,0;1700,0;90,0;236,0;146,0;1883,0;59,0;1883,0;7159,0;2255,0;6;2016;7;1;23;159;2016-05-15;2;68;actual;643,6986259592315;922,5885416666666
68;2016-06-08;50,0;7260,0;1700,0;90,0;0,0;0,0;;56,0;1452,0;7161,0;99,0;6;2016;8;2;23;160;2016-05-15;2;69;actual;591,1448498272753;891,1873111782477
69;2016-06-09;48,0;6762,0;1700,0;90,0;0,0;0,0;;54,0;1353,0;7162,0;-400,0;6;2016;9;3;23;161;2016-05-15;2;70;actual;462,23566736888;693,1240694789082
70;2016-06-10;53,0;7230,0;1700,0;90,0;0,0;0,0;;59,0;1446,0;7164,0;66,0;6;2016;10;4;23;162;2016-05-15;2;71;actual;236,4491971554436;399,53409090909093
71;2016-06-11;51,0;7710,0;1700,0;90,0;0,0;0,0;;57,0;1542,0;7165,0;545,0;6;2016;11;5;23;163;2016-05-15;2;72;actual;120,81846714811012;261,1467889908257
72;2016-06-12;59,0;6462,0;1700,0;90,0;0,0;0,0;;66,0;1293,0;7167,0;-705,0;6;2016;12;6;23;164;2016-05-15;2;73;actual;-157,9707947419322;107,2367601246106
73;2016-06-13;66,0;8790,0;1700,0;90,0;124,0;34,0;1758,0;74,0;1758,0;7168,0;1622,0;6;2016;13;0;24;165;2016-05-15;2;74;actual;529,7828379379521;779,3550295857988
74;2016-06-14;58,0;8160,0;1700,0;90,0;0,0;0,0;;65,0;1632,0;7170,0;990,0;6;2016;14;1;24;166;2016-05-15;2;75;actual;526,1798973931;666,8266666666667
75;2016-06-15;53,0;8538,0;1700,0;90,0;61,0;0,0;1708,0;59,0;1708,0;7171,0;1367,0;6;2016;15;2;24;167;2016-05-15;2;76;actual;515,3699953887995;467,23185011709603
76;2016-06-16;55,0;8094,0;1700,0;90,0;0,0;0,0;;61,0;1619,0;7173,0;921,0;6;2016;16;3;24;168;2016-05-15;2;77;actual;420,23644930418965;336,69292604501607
77;2016-06-17;54,0;6918,0;1700,0;90,0;0,0;0,0;;60,0;1384,0;7174,0;-256,0;6;2016;17;4;24;169;2016-05-15;2;78;actual;124,68741705243052;168,15057915057915
78;2016-06-18;54,0;6894,0;1700,0;90,0;0,0;0,0;;60,0;1379,0;7176,0;-282,0;6;2016;18;5;24;170;2016-05-15;2;79;actual;-38,929918375669764;88,9
79;2016-06-19;56,0;6840,0;1700,0;90,0;0,0;0,0;;63,0;1368,0;7177,0;-337,0;6;2016;19;6;24;171;2016-05-15;2;80;actual;-327,7900938846557;-155,6030701754386
80;2016-06-20;57,0;8562,0;1700,0;90,0;70,0;0,0;1713,0;64,0;1713,0;7179,0;1383,0;6;2016;20;0;25;172;2016-05-15;2;81;actual;489,49833651956897;414,9650655021834
81;2016-06-21;60,0;8754,0;1700,0;90,0;111,0;21,0;1751,0;67,0;1751,0;7180,0;1574,0;6;2016;21;1;25;173;2016-05-15;2;82;actual;489,49833651956897;414,9650655021834
82;2016-06-22;61,0;8058,0;1700,0;90,0;0,0;0,0;;68,0;1612,0;7182,0;876,0;6;2016;22;2;25;174;2016-05-15;2;83;actual;474,5847795927986;377,2054794520548
83;2016-06-23;60,0;8316,0;1700,0;90,0;24,0;0,0;1664,0;67,0;1664,0;7183,0;1133,0;6;2016;23;3;25;175;2016-05-15;2;84;actual;363,92429795767845;271,83104125736736
84;2016-06-24;53,0;5916,0;1700,0;90,0;0,0;0,0;;59,0;1184,0;7184,0;-1268,0;6;2016;24;4;25;176;2016-05-15;2;85;actual;78,52741890236487;114,76138433515483
85;2016-06-25;45,0;7272,0;1700,0;90,0;0,0;0,0;;50,0;1455,0;7186,0;86,0;6;2016;25;5;25;177;2016-05-15;2;86;actual;-100,23392552578731;31,148936170212767
86;2016-06-26;48,0;7794,0;1700,0;90,0;0,0;0,0;;54,0;1559,0;7187,0;607,0;6;2016;26;6;25;178;2016-05-15;2;87;actual;-411,05727927271226;-423,73243243243246
87;2016-06-27;50,0;8964,0;1700,0;90,0;143,0;53,0;1793,0;56,0;1793,0;7189,0;1775,0;6;2016;27;0;26;179;2016-05-15;2;88;actual;457,8565927635732;399,47648902821317
88;2016-06-28;44,0;7788,0;1700,0;90,0;0,0;0,0;;49,0;1558,0;7190,0;598,0;6;2016;28;1;26;180;2016-05-15;2;89;actual;457,8565927635732;399,47648902821317
89;2016-06-29;44,0;6600,0;1700,0;90,0;0,0;0,0;;49,0;1320,0;7192,0;-592,0;6;2016;29;2;26;181;2016-05-15;2;90;actual;447,04669075927285;377,2054794520548
90;2016-06-30;48,0;6708,0;1700,0;90,0;0,0;0,0;;54,0;1342,0;7193,0;-485,0;6;2016;30;3;26;182;2016-05-15;2;91;actual;353,5955081262797;271,83104125736736
91;2016-07-01;41,0;8742,0;1700,0;90,0;90,0;0,0;1749,0;46,0;1749,0;7195,0;1547,0;7;2016;1;4;26;183;2016-06-15;3;92;actual;1623,617429693497;1242,0208333333333
92;2016-07-02;40,0;7116,0;1700,0;90,0;0,0;0,0;;45,0;1424,0;7196,0;-80,0;7;2016;2;5;26;184;2016-06-15;3;93;actual;973,5759273848983;925,1152416356878
93;2016-07-03;46,0;8376,0;1700,0;90,0;22,0;0,0;1676,0;51,0;1676,0;7198,0;1178,0;7;2016;3;6;26;185;2016-06-15;3;94;actual;876,617300967078;761,1449275362319
94;2016-07-04;50,0;8526,0;1700,0;90,0;56,0;0,0;1706,0;56,0;1706,0;7199,0;1327,0;7;2016;4;0;27;186;2016-06-15;3;95;actual;1280,1615006452246;1585,006329113924
95;2016-07-05;47,0;8550,0;1700,0;90,0;57,0;0,0;1710,0;53,0;1710,0;7201,0;1349,0;7;2016;5;1;27;187;2016-06-15;3;96;actual;1106,5462213583896;1261,9403973509934
96;2016-07-06;51,0;9702,0;1700,0;90,0;292,0;202,0;1941,0;57,0;1941,0;7202,0;2500,0;7;2016;6;2;27;188;2016-06-15;3;97;actual;762,2080772082459;1143,4957805907172
97;2016-07-07;60,0;8442,0;1700,0;90,0;49,0;0,0;1689,0;67,0;1689,0;7204,0;1238,0;7;2016;7;3;27;189;2016-06-15;3;98;actual;524,2579398751319;779,3550295857988
98;2016-07-08;64,0;9024,0;1700,0;90,0;169,0;79,0;1805,0;72,0;1805,0;7205,0;1819,0;7;2016;8;4;27;190;2016-06-15;3;99;actual;284,8230654434952;430,3776595744681
99;2016-07-09;69,0;8532,0;1700,0;90,0;76,0;0,0;1707,0;77,0;1707,0;7207,0;1325,0;7;2016;9;5;27;191;2016-06-15;3;100;actual;130,5352836633341;261,1467889908257
100;2016-07-10;70,0;7374,0;1700,0;90,0;0,0;0,0;;78,0;1475,0;7208,0;166,0;7;2016;10;6;27;192;2016-06-15;3;101;actual;-159,60280574545493;107,2367601246106
101;2016-07-11;70,0;9492,0;1700,0;90,0;269,0;179,0;1899,0;78,0;1899,0;7210,0;2282,0;7;2016;11;0;28;193;2016-06-15;3;102;actual;546,6590279855131;797,1415094339623
102;2016-07-12;52,0;8130,0;1700,0;90,0;0,0;0,0;;58,0;1626,0;7211,0;919,0;7;2016;12;1;28;194;2016-06-15;3;103;actual;539,2512071593941;797,1415094339623
103;2016-07-13;48,0;9012,0;1700,0;90,0;151,0;61,0;1803,0;54,0;1803,0;7213,0;1799,0;7;2016;13;2;28;195;2016-06-15;3;104;actual;514,4723243634037;779,3550295857988
104;2016-07-14;48,0;9228,0;1700,0;90,0;194,0;104,0;1846,0;54,0;1846,0;7214,0;2014,0;7;2016;14;3;28;196;2016-06-15;3;105;actual;420,23644930418965;478,9630996309963
105;2016-07-15;54,0;7626,0;1700,0;90,0;0,0;0,0;;60,0;1526,0;7216,0;410,0;7;2016;15;4;28;197;2016-06-15;3;106;actual;219,21658202387752;179,4278846153846
106;2016-07-16;58,0;6234,0;1700,0;90,0;0,0;0,0;;65,0;1247,0;7217,0;-983,0;7;2016;16;5;28;198;2016-06-15;3;107;actual;99,29240608141085;90,17180616740089
107;2016-07-17;63,0;5592,0;1700,0;90,0;0,0;0,0;;70,0;1119,0;7219,0;-1627,0;7;2016;17;6;28;199;2016-06-15;3;108;actual;-329,0884396503967;-155,6030701754386
108;2016-07-18;67,0;7452,0;1700,0;90,0;0,0;0,0;;75,0;1491,0;7220,0;232,0;7;2016;18;0;29;200;2016-06-15;3;109;actual;510,4420467615626;492,8423728813559
109;2016-07-19;62,0;6744,0;1700,0;90,0;0,0;0,0;;69,0;1349,0;7222,0;-478,0;7;2016;19;1;29;201;2016-06-15;3;110;actual;496,0100022044189;492,8423728813559
110;2016-07-20;69,0;6870,0;1700,0;90,0;0,0;0,0;;77,0;1374,0;7223,0;-353,0;7;2016;20;2;29;202;2016-06-15;3;111;actual;454,60838088902574;377,2054794520548
111;2016-07-21;73,0;6924,0;1700,0;90,0;0,0;0,0;;82,0;1385,0;7225,0;-301,0;7;2016;21;3;29;203;2016-06-15;3;112;actual;365,6908939769987;273,8671586715867
112;2016-07-22;67,0;8844,0;1700,0;90,0;136,0;46,0;1769,0;75,0;1769,0;7226,0;1618,0;7;2016;22;4;29;204;2016-06-15;3;113;actual;96,95396841606181;134,55886736214606
113;2016-07-23;63,0;6450,0;1700,0;90,0;0,0;0,0;;70,0;1290,0;7228,0;-778,0;7;2016;23;5;29;205;2016-06-15;3;114;actual;-93,58671820352252;31,148936170212767
114;2016-07-24;60,0;5892,0;1700,0;90,0;0,0;0,0;;67,0;1179,0;7229,0;-1337,0;7;2016;24;6;29;206;2016-06-15;3;115;actual;-422,40085614658574;-423,73243243243246
115;2016-07-25;62,0;7368,0;1700,0;90,0;0,0;0,0;;69,0;1474,0;7231,0;137,0;7;2016;25;0;30;207;2016-06-15;3;116;actual;438,5184888364443;399,47648902821317
116;2016-07-26;53,0;7488,0;1700,0;90,0;0,0;0,0;;59,0;1498,0;7232,0;256,0;7;2016;26;1;30;208;2016-06-15;3;117;actual;438,5184888364443;399,47648902821317
117;2016-07-27;49,0;6684,0;1700,0;90,0;0,0;0,0;;55,0;1337,0;7234,0;-550,0;7;2016;27;2;30;209;2016-06-15;3;118;actual;423,2320848037463;377,2054794520548
118;2016-07-28;51,0;7062,0;1700,0;90,0;0,0;0,0;;57,0;1413,0;7235,0;-173,0;7;2016;28;3;30;210;2016-06-15;3;119;actual;339,0331193922123;271,83104125736736
119;2016-07-29;50,0;6978,0;1700,0;90,0;0,0;0,0;;56,0;1396,0;7237,0;-259,0;7;2016;29;4;30;211;2016-06-15;3;120;actual;74,32615764110362;114,76138433515483
120;2016-07-30;49,0;6480,0;1700,0;90,0;0,0;0,0;;55,0;1296,0;7238,0;-758,0;7;2016;30;5;30;212;2016-06-15;3;121;actual;-116,93986621010299;31,148936170212767
121;2016-07-31;51,0;6210,0;1700,0;90,0;0,0;0,0;;57,0;1242,0;7240,0;-1030,0;7;2016;31;6;30;213;2016-06-15;3;122;actual;-439,1067968309014;-423,73243243243246
122;2016-08-01;53,0;10536,0;1700,0;90,0;461,0;371,0;2108,0;59,0;2108,0;7241,0;3295,0;8;2016;1;0;31;214;2016-07-15;3;123;actual;1872,8833002632932;2053,5833333333335
123;2016-08-02;51,0;10392,0;1700,0;90,0;430,0;340,0;2079,0;57,0;2079,0;7243,0;3149,0;8;2016;2;1;31;215;2016-07-15;3;124;actual;1365,4645080740518;1698,6183574879226
124;2016-08-03;49,0;9516,0;1700,0;90,0;253,0;163,0;1904,0;55,0;1904,0;7244,0;2272,0;8;2016;3;2;31;216;2016-07-15;3;125;actual;1320,5945870133094;1301,0743801652893
125;2016-08-04;52,0;9840,0;1700,0;90,0;320,0;230,0;1968,0;58,0;1968,0;7246,0;2594,0;8;2016;4;3;31;217;2016-07-15;3;126;actual;1217,3108437870667;1261,9403973509934
126;2016-08-05;49,0;9258,0;1700,0;90,0;201,0;111,0;1852,0;55,0;1852,0;7247,0;2011,0;8;2016;5;4;31;218;2016-07-15;3;127;actual;1001,8799744586868;734,7794117647059
127;2016-08-06;44,0;9006,0;1700,0;90,0;146,0;56,0;1802,0;49,0;1802,0;7249,0;1757,0;8;2016;6;5;31;219;2016-07-15;3;128;actual;488,45793936651813;334,94336569579286
128;2016-08-07;46,0;5904,0;1700,0;90,0;0,0;0,0;;51,0;1181,0;7250,0;-1346,0;8;2016;7;6;31;220;2016-07-15;3;129;actual;-70,13680916621219;37,25333333333333
129;2016-08-08;40,0;7428,0;1700,0;90,0;0,0;0,0;;45,0;1486,0;7252,0;176,0;8;2016;8;0;32;221;2016-07-15;3;130;actual;583,7348840673274;658,0626740947075
130;2016-08-09;37,0;6840,0;1700,0;90,0;0,0;0,0;;41,0;1368,0;7253,0;-413,0;8;2016;9;1;32;222;2016-07-15;3;131;actual;559,813683949493;572,9082774049217
131;2016-08-10;38,0;7506,0;1700,0;90,0;0,0;0,0;;42,0;1502,0;7255,0;251,0;8;2016;10;2;32;223;2016-07-15;3;132;actual;521,8889562816369;572,9082774049217
132;2016-08-11;45,0;8526,0;1700,0;90,0;51,0;0,0;1706,0;50,0;1706,0;7256,0;1270,0;8;2016;11;3;32;224;2016-07-15;3;133;actual;430,6538027327834;492,8423728813559
133;2016-08-12;43,0;8256,0;1700,0;90,0;0,0;0,0;;48,0;1652,0;7258,0;998,0;8;2016;12;4;32;225;2016-07-15;3;134;actual;223,59976408326128;265,65671641791045
134;2016-08-13;38,0;6762,0;1700,0;90,0;0,0;0,0;;42,0;1353,0;7259,0;-497,0;8;2016;13;5;32;226;2016-07-15;3;135;actual;109,25493661615002;134,55886736214606
135;2016-08-14;38,0;5778,0;1700,0;90,0;0,0;0,0;;42,0;1156,0;7261,0;-1483,0;8;2016;14;6;32;227;2016-07-15;3;136;actual;-182,49436492095015;-78,94848484848485
136;2016-08-15;42,0;7404,0;1700,0;90,0;0,0;0,0;;47,0;1481,0;7262,0;142,0;8;2016;15;0;33;228;2016-07-15;3;137;actual;497,8646798673254;399,47648902821317
137;2016-08-16;44,0;7134,0;1700,0;90,0;0,0;0,0;;49,0;1427,0;7264,0;-130,0;8;2016;16;1;33;229;2016-07-15;3;138;actual;497,8646798673254;399,47648902821317
