;date;n_sick;calls;n_duty;n_sby;sby_need;dafted;demand;n_sick_adj;demand_pred;calls_reg_pred;calls_reg_act_diff;month;year;dayofmonth;weekday;weekofyear;dayofyear;predict_day;season;day;status
17;2016-04-18;59;6768;1700;90;0;0;;66;1354;7084;-316;4;2016;18;0;16;109;2016-03-15;2;18;actual
18;2016-04-19;57;8676;1700;90;93;3;1736,0;64;1736;7086;1590;4;2016;19;1;16;110;2016-03-15;2;19;actual
19;2016-04-20;53;6270;1700;90;0;0;;59;1254;7087;-817;4;2016;20;2;16;111;2016-03-15;2;20;actual
20;2016-04-21;63;7818;1700;90;0;0;;70;1564;7089;729;4;2016;21;3;16;112;2016-03-15;2;21;actual
21;2016-04-22;68;5712;1700;90;0;0;;76;1143;7090;-1378;4;2016;22;4;16;113;2016-03-15;2;22;actual
22;2016-04-23;62;5166;1700;90;0;0;;69;1034;7092;-1926;4;2016;23;5;16;114;2016-03-15;2;23;actual
23;2016-04-24;71;4884;1700;90;0;0;;79;977;7093;-2209;4;2016;24;6;16;115;2016-03-15;2;24;actual
24;2016-04-25;72;5880;1700;90;0;0;;80;1176;7095;-1215;4;2016;25;0;17;116;2016-03-15;2;25;actual
25;2016-04-26;65;6576;1700;90;0;0;;73;1316;7096;-520;4;2016;26;1;17;117;2016-03-15;2;26;actual
26;2016-04-27;62;7620;1700;90;0;0;;69;1524;7098;522;4;2016;27;2;17;118;2016-03-15;2;27;actual
27;2016-04-28;66;6870;1700;90;0;0;;74;1374;7099;-229;4;2016;28;3;17;119;2016-03-15;2;28;actual
28;2016-04-29;64;7554;1700;90;0;0;;72;1511;7101;453;4;2016;29;4;17;120;2016-03-15;2;29;actual
29;2016-04-30;65;5424;1700;90;0;0;;73;1085;7102;-1678;4;2016;30;5;17;121;2016-03-15;2;30;actual
30;2016-05-01;54;8400;1700;90;34;0;1680,0;60;1680;7104;1296;5;2016;1;6;17;122;2016-04-15;2;31;actual
31;2016-05-02;63;7782;1700;90;0;0;;70;1557;7105;677;5;2016;2;0;18;123;2016-04-15;2;32;actual
32;2016-05-03;61;7716;1700;90;0;0;;68;1544;7107;609;5;2016;3;1;18;124;2016-04-15;2;33;actual
33;2016-05-04;58;8340;1700;90;26;0;1668,0;65;1668;7108;1232;5;2016;4;2;18;125;2016-04-15;2;34;actual
34;2016-05-05;57;8064;1700;90;0;0;;64;1613;7110;954;5;2016;5;3;18;126;2016-04-15;2;35;actual
35;2016-05-06;59;7404;1700;90;0;0;;66;1481;7111;293;5;2016;6;4;18;127;2016-04-15;2;36;actual
36;2016-05-07;57;8868;1700;90;131;41;1774,0;64;1774;7113;1755;5;2016;7;5;18;128;2016-04-15;2;37;actual
37;2016-05-08;61;6504;1700;90;0;0;;68;1301;7114;-610;5;2016;8;6;18;129;2016-04-15;2;38;actual
38;2016-05-09;65;7788;1700;90;0;0;;73;1558;7116;672;5;2016;9;0;19;130;2016-04-15;2;39;actual
39;2016-05-10;68;6978;1700;90;0;0;;76;1396;7117;-139;5;2016;10;1;19;131;2016-04-15;2;40;actual
40;2016-05-11;61;7512;1700;90;0;0;;68;1503;7119;393;5;2016;11;2;19;132;2016-04-15;2;41;actual
41;2016-05-12;55;7434;1700;90;0;0;;61;1487;7120;314;5;2016;12;3;19;133;2016-04-15;2;42;actual
42;2016-05-13;56;8370;1700;90;30;0;1674,0;63;1674;7122;1248;5;2016;13;4;19;134;2016-04-15;2;43;actual
43;2016-05-14;50;8136;1700;90;0;0;;56;1628;7123;1013;5;2016;14;5;19;135;2016-04-15;2;44;actual
44;2016-05-15;57;7674;1700;90;0;0;;64;1535;7125;549;5;2016;15;6;19;136;2016-04-15;2;45;actual
45;2016-05-16;52;9048;1700;90;162;72;1810,0;58;1810;7126;1922;5;2016;16;0;20;137;2016-04-15;2;46;actual
46;2016-05-17;53;8550;1700;90;63;0;1710,0;59;1710;7128;1422;5;2016;17;1;20;138;2016-04-15;2;47;actual
47;2016-05-18;52;8184;1700;90;0;0;;58;1637;7129;1055;5;2016;18;2;20;139;2016-04-15;2;48;actual
48;2016-05-19;51;8352;1700;90;22;0;1671,0;57;1671;7131;1221;5;2016;19;3;20;140;2016-04-15;2;49;actual
49;2016-05-20;57;5790;1700;90;0;0;;64;1158;7132;-1342;5;2016;20;4;20;141;2016-04-15;2;50;actual
50;2016-05-21;56;8382;1700;90;33;0;1677,0;63;1677;7134;1248;5;2016;21;5;20;142;2016-04-15;2;51;actual
51;2016-05-22;58;6516;1700;90;0;0;;65;1304;7135;-619;5;2016;22;6;20;143;2016-04-15;2;52;actual
52;2016-05-23;57;7824;1700;90;0;0;;64;1565;7137;687;5;2016;23;0;21;144;2016-04-15;2;53;actual
53;2016-05-24;55;6312;1700;90;0;0;;61;1263;7138;-826;5;2016;24;1;21;145;2016-04-15;2;54;actual
54;2016-05-25;49;8196;1700;90;0;0;;55;1640;7140;1056;5;2016;25;2;21;146;2016-04-15;2;55;actual
55;2016-05-26;46;8124;1700;90;0;0;;51;1625;7141;983;5;2016;26;3;21;147;2016-04-15;2;56;actual
56;2016-05-27;50;6084;1700;90;0;0;;56;1217;7143;-1059;5;2016;27;4;21;148;2016-04-15;2;57;actual
57;2016-05-28;50;6174;1700;90;0;0;;56;1235;7144;-970;5;2016;28;5;21;149;2016-04-15;2;58;actual
58;2016-05-29;52;6984;1700;90;0;0;;58;1397;7146;-162;5;2016;29;6;21;150;2016-04-15;2;59;actual
59;2016-05-30;59;8670;1700;90;93;3;1734,0;66;1734;7147;1523;5;2016;30;0;22;151;2016-04-15;2;60;actual
60;2016-05-31;59;8004;1700;90;0;0;;66;1601;7149;855;5;2016;31;1;22;152;2016-04-15;2;61;actual
61;2016-06-01;64;7656;1700;90;0;0;;72;1532;7150;506;6;2016;1;2;22;153;2016-05-15;2;62;actual
62;2016-06-02;63;8298;1700;90;23;0;1660,0;70;1660;7152;1146;6;2016;2;3;22;154;2016-05-15;2;63;actual
63;2016-06-03;69;8922;1700;90;154;64;1785,0;77;1785;7153;1769;6;2016;3;4;22;155;2016-05-15;2;64;actual
64;2016-06-04;67;9426;1700;90;253;163;1886,0;75;1886;7155;2271;6;2016;4;5;22;156;2016-05-15;2;65;actual
65;2016-06-05;61;8514;1700;90;64;0;1703,0;68;1703;7156;1358;6;2016;5;6;22;157;2016-05-15;2;66;actual
66;2016-06-06;62;9426;1700;90;248;158;1886,0;69;1886;7158;2268;6;2016;6;0;23;158;2016-05-15;2;67;actual
67;2016-06-07;53;9414;1700;90;236;146;1883,0;59;1883;7159;2255;6;2016;7;1;23;159;2016-05-15;2;68;actual
68;2016-06-08;50;7260;1700;90;0;0;;56;1452;7161;99;6;2016;8;2;23;160;2016-05-15;2;69;actual
69;2016-06-09;48;6762;1700;90;0;0;;54;1353;7162;-400;6;2016;9;3;23;161;2016-05-15;2;70;actual
70;2016-06-10;53;7230;1700;90;0;0;;59;1446;7164;66;6;2016;10;4;23;162;2016-05-15;2;71;actual
71;2016-06-11;51;7710;1700;90;0;0;;57;1542;7165;545;6;2016;11;5;23;163;2016-05-15;2;72;actual
72;2016-06-12;59;6462;1700;90;0;0;;66;1293;7167;-705;6;2016;12;6;23;164;2016-05-15;2;73;actual
73;2016-06-13;66;8790;1700;90;124;34;1758,0;74;1758;7168;1622;6;2016;13;0;24;165;2016-05-15;2;74;actual
74;2016-06-14;58;8160;1700;90;0;0;;65;1632;7170;990;6;2016;14;1;24;166;2016-05-15;2;75;actual
75;2016-06-15;53;8538;1700;90;61;0;1708,0;59;1708;7171;1367;6;2016;15;2;24;167;2016-05-15;2;76;actual
76;2016-06-16;55;8094;1700;90;0;0;;61;1619;7173;921;6;2016;16;3;24;168;2016-05-15;2;77;actual
77;2016-06-17;54;6918;1700;90;0;0;;60;1384;7174;-256;6;2016;17;4;24;169;2016-05-15;2;78;actual
78;2016-06-18;54;6894;1700;90;0;0;;60;1379;7176;-282;6;2016;18;5;24;170;2016-05-15;2;79;actual
79;2016-06-19;56;6840;1700;90;0;0;;63;1368;7177;-337;6;2016;19;6;24;171;2016-05-15;2;80;actual
80;2016-06-20;57;8562;1700;90;70;0;1713,0;64;1713;7179;1383;6;2016;20;0;25;172;2016-05-15;2;81;actual
81;2016-06-21;60;8754;1700;90;111;21;1751,0;67;1751;7180;1574;6;2016;21;1;25;173;2016-05-15;2;82;actual
82;2016-06-22;61;8058;1700;90;0;0;;68;1612;7182;876;6;2016;22;2;25;174;2016-05-15;2;83;actual
83;2016-06-23;60;8316;1700;90;24;0;1664,0;67;1664;7183;1133;6;2016;23;3;25;175;2016-05-15;2;84;actual
84;2016-06-24;53;5916;1700;90;0;0;;59;1184;7184;-1268;6;2016;24;4;25;176;2016-05-15;2;85;actual
85;2016-06-25;45;7272;1700;90;0;0;;50;1455;7186;86;6;2016;25;5;25;177;2016-05-15;2;86;actual
86;2016-06-26;48;7794;1700;90;0;0;;54;1559;7187;607;6;2016;26;6;25;178;2016-05-15;2;87;actual
87;2016-06-27;50;8964;1700;90;143;53;1793,0;56;1793;7189;1775;6;2016;27;0;26;179;2016-05-15;2;88;actual
88;2016-06-28;44;7788;1700;90;0;0;;49;1558;7190;598;6;2016;28;1;26;180;2016-05-15;2;89;actual
89;2016-06-29;44;6600;1700;90;0;0;;49;1320;7192;-592;6;2016;29;2;26;181;2016-05-15;2;90;actual
90;2016-06-30;48;6708;1700;90;0;0;;54;1342;7193;-485;6;2016;30;3;26;182;2016-05-15;2;91;actual
91;2016-07-01;41;8742;1700;90;90;0;1749,0;46;1749;7195;1547;7;2016;1;4;26;183;2016-06-15;3;92;actual
92;2016-07-02;40;7116;1700;90;0;0;;45;1424;7196;-80;7;2016;2;5;26;184;2016-06-15;3;93;actual
93;2016-07-03;46;8376;1700;90;22;0;1676,0;51;1676;7198;1178;7;2016;3;6;26;185;2016-06-15;3;94;actual
94;2016-07-04;50;8526;1700;90;56;0;1706,0;56;1706;7199;1327;7;2016;4;0;27;186;2016-06-15;3;95;actual
95;2016-07-05;47;8550;1700;90;57;0;1710,0;53;1710;7201;1349;7;2016;5;1;27;187;2016-06-15;3;96;actual
96;2016-07-06;51;9702;1700;90;292;202;1941,0;57;1941;7202;2500;7;2016;6;2;27;188;2016-06-15;3;97;actual
97;2016-07-07;60;8442;1700;90;49;0;1689,0;67;1689;7204;1238;7;2016;7;3;27;189;2016-06-15;3;98;actual
98;2016-07-08;64;9024;1700;90;169;79;1805,0;72;1805;7205;1819;7;2016;8;4;27;190;2016-06-15;3;99;actual
99;2016-07-09;69;8532;1700;90;76;0;1707,0;77;1707;7207;1325;7;2016;9;5;27;191;2016-06-15;3;100;actual
100;2016-07-10;70;7374;1700;90;0;0;;78;1475;7208;166;7;2016;10;6;27;192;2016-06-15;3;101;actual
101;2016-07-11;70;9492;1700;90;269;179;1899,0;78;1899;7210;2282;7;2016;11;0;28;193;2016-06-15;3;102;actual
102;2016-07-12;52;8130;1700;90;0;0;;58;1626;7211;919;7;2016;12;1;28;194;2016-06-15;3;103;actual
103;2016-07-13;48;9012;1700;90;151;61;1803,0;54;1803;7213;1799;7;2016;13;2;28;195;2016-06-15;3;104;actual
104;2016-07-14;48;9228;1700;90;194;104;1846,0;54;1846;7214;2014;7;2016;14;3;28;196;2016-06-15;3;105;actual
105;2016-07-15;54;7626;1700;90;0;0;;60;1526;7216;410;7;2016;15;4;28;197;2016-06-15;3;106;actual
106;2016-07-16;58;6234;1700;90;0;0;;65;1247;7217;-983;7;2016;16;5;28;198;2016-06-15;3;107;actual
107;2016-07-17;63;5592;1700;90;0;0;;70;1119;7219;-1627;7;2016;17;6;28;199;2016-06-15;3;108;actual
108;2016-07-18;67;7452;1700;90;0;0;;75;1491;7220;232;7;2016;18;0;29;200;2016-06-15;3;109;actual
109;2016-07-19;62;6744;1700;90;0;0;;69;1349;7222;-478;7;2016;19;1;29;201;2016-06-15;3;110;actual
110;2016-07-20;69;6870;1700;90;0;0;;77;1374;7223;-353;7;2016;20;2;29;202;2016-06-15;3;111;actual
111;2016-07-21;73;6924;1700;90;0;0;;82;1385;7225;-301;7;2016;21;3;29;203;2016-06-15;3;112;actual
112;2016-07-22;67;8844;1700;90;136;46;1769,0;75;1769;7226;1618;7;2016;22;4;29;204;2016-06-15;3;113;actual
113;2016-07-23;63;6450;1700;90;0;0;;70;1290;7228;-778;7;2016;23;5;29;205;2016-06-15;3;114;actual
114;2016-07-24;60;5892;1700;90;0;0;;67;1179;7229;-1337;7;2016;24;6;29;206;2016-06-15;3;115;actual
115;2016-07-25;62;7368;1700;90;0;0;;69;1474;7231;137;7;2016;25;0;30;207;2016-06-15;3;116;actual
116;2016-07-26;53;7488;1700;90;0;0;;59;1498;7232;256;7;2016;26;1;30;208;2016-06-15;3;117;actual
117;2016-07-27;49;6684;1700;90;0;0;;55;1337;7234;-550;7;2016;27;2;30;209;2016-06-15;3;118;actual
118;2016-07-28;51;7062;1700;90;0;0;;57;1413;7235;-173;7;2016;28;3;30;210;2016-06-15;3;119;actual
119;2016-07-29;50;6978;1700;90;0;0;;56;1396;7237;-259;7;2016;29;4;30;211;2016-06-15;3;120;actual
120;2016-07-30;49;6480;1700;90;0;0;;55;1296;7238;-758;7;2016;30;5;30;212;2016-06-15;3;121;actual
121;2016-07-31;51;6210;1700;90;0;0;;57;1242;7240;-1030;7;2016;31;6;30;213;2016-06-15;3;122;actual
122;2016-08-01;53;10536;1700;90;461;371;2108,0;59;2108;7241;3295;8;2016;1;0;31;214;2016-07-15;3;123;actual
123;2016-08-02;51;10392;1700;90;430;340;2079,0;57;2079;7243;3149;8;2016;2;1;31;215;2016-07-15;3;124;actual
124;2016-08-03;49;9516;1700;90;253;163;1904,0;55;1904;7244;2272;8;2016;3;2;31;216;2016-07-15;3;125;actual
125;2016-08-04;52;9840;1700;90;320;230;1968,0;58;1968;7246;2594;8;2016;4;3;31;217;2016-07-15;3;126;actual
126;2016-08-05;49;9258;1700;90;201;111;1852,0;55;1852;7247;2011;8;2016;5;4;31;218;2016-07-15;3;127;actual
127;2016-08-06;44;9006;1700;90;146;56;1802,0;49;1802;7249;1757;8;2016;6;5;31;219;2016-07-15;3;128;actual
128;2016-08-07;46;5904;1700;90;0;0;;51;1181;7250;-1346;8;2016;7;6;31;220;2016-07-15;3;129;actual
129;2016-08-08;40;7428;1700;90;0;0;;45;1486;7252;176;8;2016;8;0;32;221;2016-07-15;3;130;actual
130;2016-08-09;37;6840;1700;90;0;0;;41;1368;7253;-413;8;2016;9;1;32;222;2016-07-15;3;131;actual
131;2016-08-10;38;7506;1700;90;0;0;;42;1502;7255;251;8;2016;10;2;32;223;2016-07-15;3;132;actual
132;2016-08-11;45;8526;1700;90;51;0;1706,0;50;1706;7256;1270;8;2016;11;3;32;224;2016-07-15;3;133;actual
133;2016-08-12;43;8256;1700;90;0;0;;48;1652;7258;998;8;2016;12;4;32;225;2016-07-15;3;134;actual
134;2016-08-13;38;6762;1700;90;0;0;;42;1353;7259;-497;8;2016;13;5;32;226;2016-07-15;3;135;actual
135;2016-08-14;38;5778;1700;90;0;0;;42;1156;7261;-1483;8;2016;14;6;32;227;2016-07-15;3;136;actual
136;2016-08-15;42;7404;1700;90;0;0;;47;1481;7262;142;8;2016;15;0;33;228;2016-07-15;3;137;actual
137;2016-08-16;44;7134;1700;90;0;0;;49;1427;7264;-130;8;2016;16;1;33;229;2016-07-15;3;138;actual
138;2016-08-17;47;6540;1700;90;0;0;;53;1308;7265;-725;8;2016;17;2;33;230;2016-07-15;3;139;actual
139;2016-08-18;46;8670;1700;90;80;0;1734,0;51;1734;7267;1403;8;2016;18;3;33;231;2016-07-15;3;140;actual
140;2016-08-19;45;8028;1700;90;0;0;;50;1606;7268;760;8;2016;19;4;33;232;2016-07-15;3;141;actual
141;2016-08-20;36;6318;1700;90;0;0;;40;1264;7270;-952;8;2016;20;5;33;233;2016-07-15;3;142;actual
142;2016-08-21;44;8214;1700;90;0;0;;49;1643;7271;943;8;2016;21;6;33;234;2016-07-15;3;143;actual
143;2016-08-22;49;6654;1700;90;0;0;;55;1331;7273;-619;8;2016;22;0;34;235;2016-07-15;3;144;actual
144;2016-08-23;48;8082;1700;90;0;0;;54;1617;7274;808;8;2016;23;1;34;236;2016-07-15;3;145;actual
145;2016-08-24;49;8430;1700;90;35;0;1686,0;55;1686;7276;1154;8;2016;24;2;34;237;2016-07-15;3;146;actual
146;2016-08-25;52;7140;1700;90;0;0;;58;1428;7277;-137;8;2016;25;3;34;238;2016-07-15;3;147;actual
147;2016-08-26;55;8082;1700;90;0;0;;61;1617;7279;803;8;2016;26;4;34;239;2016-07-15;3;148;actual
148;2016-08-27;48;7626;1700;90;0;0;;54;1526;7280;346;8;2016;27;5;34;240;2016-07-15;3;149;actual
149;2016-08-28;49;6990;1700;90;0;0;;55;1398;7282;-292;8;2016;28;6;34;241;2016-07-15;3;150;actual
150;2016-08-29;60;6840;1700;90;0;0;;67;1368;7283;-443;8;2016;29;0;35;242;2016-07-15;3;151;actual
151;2016-08-30;59;8592;1700;90;78;0;1719,0;66;1719;7285;1307;8;2016;30;1;35;243;2016-07-15;3;152;actual
152;2016-08-31;54;8886;1700;90;132;42;1778,0;60;1778;7286;1600;8;2016;31;2;35;244;2016-07-15;3;153;actual
153;2016-09-01;52;9318;1700;90;216;126;1864,0;58;1864;7288;2030;9;2016;1;3;35;245;2016-08-15;3;154;actual
154;2016-09-02;61;9366;1700;90;235;145;1874,0;68;1874;7289;2077;9;2016;2;4;35;246;2016-08-15;3;155;actual
155;2016-09-03;55;7380;1700;90;0;0;;61;1476;7291;89;9;2016;3;5;35;247;2016-08-15;3;156;actual
156;2016-09-04;69;7536;1700;90;0;0;;77;1508;7292;244;9;2016;4;6;35;248;2016-08-15;3;157;actual
157;2016-09-05;73;7548;1700;90;0;0;;82;1510;7294;254;9;2016;5;0;36;249;2016-08-15;3;158;actual
158;2016-09-06;67;7560;1700;90;0;0;;75;1512;7295;265;9;2016;6;1;36;250;2016-08-15;3;159;actual
159;2016-09-07;64;8568;1700;90;78;0;1714,0;72;1714;7297;1271;9;2016;7;2;36;251;2016-08-15;3;160;actual
160;2016-09-08;67;8748;1700;90;117;27;1750,0;75;1750;7298;1450;9;2016;8;3;36;252;2016-08-15;3;161;actual
161;2016-09-09;62;6582;1700;90;0;0;;69;1317;7300;-718;9;2016;9;4;36;253;2016-08-15;3;162;actual
162;2016-09-10;59;7374;1700;90;0;0;;66;1475;7301;73;9;2016;10;5;36;254;2016-08-15;3;163;actual
163;2016-09-11;68;8202;1700;90;9;0;1641,0;76;1641;7303;899;9;2016;11;6;36;255;2016-08-15;3;164;actual
164;2016-09-12;72;6564;1700;90;0;0;;80;1313;7304;-740;9;2016;12;0;37;256;2016-08-15;3;165;actual
165;2016-09-13;65;7230;1700;90;0;0;;73;1446;7306;-76;9;2016;13;1;37;257;2016-08-15;3;166;actual
166;2016-09-14;68;8514;1700;90;71;0;1703,0;76;1703;7307;1207;9;2016;14;2;37;258;2016-08-15;3;167;actual
167;2016-09-15;75;8280;1700;90;31;0;1656,0;84;1656;7309;971;9;2016;15;3;37;259;2016-08-15;3;168;actual
168;2016-09-16;71;7824;1700;90;0;0;;79;1565;7310;514;9;2016;16;4;37;260;2016-08-15;3;169;actual
169;2016-09-17;74;6660;1700;90;0;0;;83;1332;7312;-652;9;2016;17;5;37;261;2016-08-15;3;170;actual
170;2016-09-18;81;6126;1700;90;0;0;;91;1226;7313;-1187;9;2016;18;6;37;262;2016-08-15;3;171;actual
171;2016-09-19;75;7926;1700;90;0;0;;84;1586;7315;611;9;2016;19;0;38;263;2016-08-15;3;172;actual
172;2016-09-20;72;7362;1700;90;0;0;;80;1473;7316;46;9;2016;20;1;38;264;2016-08-15;3;173;actual
173;2016-09-21;80;8532;1700;90;87;0;1707,0;89;1707;7318;1214;9;2016;21;2;38;265;2016-08-15;3;174;actual
174;2016-09-22;77;8286;1700;90;35;0;1658,0;86;1658;7319;967;9;2016;22;3;38;266;2016-08-15;3;175;actual
175;2016-09-23;76;5808;1700;90;0;0;;85;1162;7321;-1513;9;2016;23;4;38;267;2016-08-15;3;176;actual
176;2016-09-24;71;7842;1700;90;0;0;;79;1569;7322;520;9;2016;24;5;38;268;2016-08-15;3;177;actual
177;2016-09-25;79;5328;1700;90;0;0;;88;1066;7324;-1996;9;2016;25;6;38;269;2016-08-15;3;178;actual
178;2016-09-26;80;8550;1700;90;90;0;1710,0;89;1710;7325;1225;9;2016;26;0;39;270;2016-08-15;3;179;actual
179;2016-09-27;90;7638;1700;90;0;0;;101;1528;7327;311;9;2016;27;1;39;271;2016-08-15;3;180;actual
180;2016-09-28;89;6924;1700;90;0;0;;99;1385;7328;-404;9;2016;28;2;39;272;2016-08-15;3;181;actual
181;2016-09-29;89;8172;1700;90;24;0;1635,0;99;1635;7330;842;9;2016;29;3;39;273;2016-08-15;3;182;actual
182;2016-09-30;91;8520;1700;90;95;5;1704,0;102;1704;7331;1189;9;2016;30;4;39;274;2016-08-15;3;183;actual
183;2016-10-01;72;6492;1700;90;0;0;;80;1299;7333;-841;10;2016;1;5;39;275;2016-09-15;4;184;actual
184;2016-10-02;77;7872;1700;90;0;0;;86;1575;7334;538;10;2016;2;6;39;276;2016-09-15;4;185;actual
185;2016-10-03;83;8004;1700;90;0;0;;93;1601;7336;668;10;2016;3;0;40;277;2016-09-15;4;186;actual
186;2016-10-04;85;7398;1700;90;0;0;;95;1480;7337;61;10;2016;4;1;40;278;2016-09-15;4;187;actual
187;2016-10-05;83;8136;1700;90;11;0;1628,0;93;1628;7339;797;10;2016;5;2;40;279;2016-09-15;4;188;actual
188;2016-10-06;77;7020;1700;90;0;0;;86;1404;7340;-320;10;2016;6;3;40;280;2016-09-15;4;189;actual
189;2016-10-07;84;6072;1700;90;0;0;;94;1215;7342;-1270;10;2016;7;4;40;281;2016-09-15;4;190;actual
190;2016-10-08;77;7176;1700;90;0;0;;86;1436;7343;-167;10;2016;8;5;40;282;2016-09-15;4;191;actual
191;2016-10-09;81;7842;1700;90;0;0;;91;1569;7345;497;10;2016;9;6;40;283;2016-09-15;4;192;actual
192;2016-10-10;91;7818;1700;90;0;0;;102;1564;7346;472;10;2016;10;0;41;284;2016-09-15;4;193;actual
193;2016-10-11;80;7908;1700;90;0;0;;89;1582;7348;560;10;2016;11;1;41;285;2016-09-15;4;194;actual
194;2016-10-12;81;6396;1700;90;0;0;;91;1280;7349;-953;10;2016;12;2;41;286;2016-09-15;4;195;actual
195;2016-10-13;84;6930;1700;90;0;0;;94;1386;7350;-420;10;2016;13;3;41;287;2016-09-15;4;196;actual
196;2016-10-14;90;7728;1700;90;0;0;;101;1546;7352;376;10;2016;14;4;41;288;2016-09-15;4;197;actual
197;2016-10-15;86;6954;1700;90;0;0;;96;1391;7353;-399;10;2016;15;5;41;289;2016-09-15;4;198;actual
198;2016-10-16;86;7614;1700;90;0;0;;96;1523;7355;259;10;2016;16;6;41;290;2016-09-15;4;199;actual
199;2016-10-17;90;6666;1700;90;0;0;;101;1334;7356;-690;10;2016;17;0;42;291;2016-09-15;4;200;actual
200;2016-10-18;78;7200;1700;90;0;0;;87;1440;7358;-158;10;2016;18;1;42;292;2016-09-15;4;201;actual
201;2016-10-19;75;8094;1700;90;0;0;;84;1619;7359;735;10;2016;19;2;42;293;2016-09-15;4;202;actual
202;2016-10-20;73;7440;1700;90;0;0;;82;1488;7361;79;10;2016;20;3;42;294;2016-09-15;4;203;actual
203;2016-10-21;77;6234;1700;90;0;0;;86;1247;7362;-1128;10;2016;21;4;42;295;2016-09-15;4;204;actual
204;2016-10-22;75;6660;1700;90;0;0;;84;1332;7364;-704;10;2016;22;5;42;296;2016-09-15;4;205;actual
205;2016-10-23;70;5004;1700;90;0;0;;78;1001;7365;-2361;10;2016;23;6;42;297;2016-09-15;4;206;actual
206;2016-10-24;73;8544;1700;90;82;0;1709,0;82;1709;7367;1177;10;2016;24;0;43;298;2016-09-15;4;207;actual
207;2016-10-25;59;6204;1700;90;0;0;;66;1241;7368;-1164;10;2016;25;1;43;299;2016-09-15;4;208;actual
208;2016-10-26;57;6108;1700;90;0;0;;64;1222;7370;-1262;10;2016;26;2;43;300;2016-09-15;4;209;actual
209;2016-10-27;60;6366;1700;90;0;0;;67;1274;7371;-1005;10;2016;27;3;43;301;2016-09-15;4;210;actual
210;2016-10-28;61;5430;1700;90;0;0;;68;1086;7373;-1943;10;2016;28;4;43;302;2016-09-15;4;211;actual
211;2016-10-29;50;7980;1700;90;0;0;;56;1596;7374;606;10;2016;29;5;43;303;2016-09-15;4;212;actual
212;2016-10-30;59;5730;1700;90;0;0;;66;1146;7376;-1646;10;2016;30;6;43;304;2016-09-15;4;213;actual
213;2016-10-31;71;5874;1700;90;0;0;;79;1175;7377;-1503;10;2016;31;0;44;305;2016-09-15;4;214;actual
214;2016-11-01;65;9600;1700;90;285;195;1920,0;73;1920;7379;2221;11;2016;1;1;44;306;2016-10-15;4;215;actual
215;2016-11-02;66;6576;1700;90;0;0;;74;1316;7380;-804;11;2016;2;2;44;307;2016-10-15;4;216;actual
216;2016-11-03;62;8352;1700;90;33;0;1671,0;69;1671;7382;970;11;2016;3;3;44;308;2016-10-15;4;217;actual
217;2016-11-04;62;6984;1700;90;0;0;;69;1397;7383;-399;11;2016;4;4;44;309;2016-10-15;4;218;actual
218;2016-11-05;47;5562;1700;90;0;0;;53;1113;7385;-1823;11;2016;5;5;44;310;2016-10-15;4;219;actual
